id,license,file_name,rights_holder,height,width,area,iscrowd,X_bb,Y_bb,width_bb,heigth_bb,category_id,supercategory,name,link,
18014,3,Actinopterygii/Lepomis_macrochirus/ba920128de2e221df1c0feaedd53fbd2.jpg,jmfarrell,600,800,79497,0,76,167,657,242,174,Actinopterygii,Lepomis_macrochirus,,
18015,3,Actinopterygii/Lepomis_macrochirus/20286e0f5b62e3789e96124d6441db5b.jpg,jpeyla,530,800,50782.5,0,235,159,549,185,174,Actinopterygii,Lepomis_macrochirus,,
18017,3,Actinopterygii/Lepomis_macrochirus/156cd14dfb090810f9278a3fd546ecd6.jpg,tnewman,484,800,114558,0,45,104,732,313,174,Actinopterygii,Lepomis_macrochirus,,
21875,3,Actinopterygii/Salmo_trutta/65ca8afa792ad74f7ef4d553b6195591.jpg,Mark_Held,452,800,89500,0,84,121,716,250,209,Actinopterygii,Salmo_trutta,,
21891,3,Actinopterygii/Salmo_trutta/1520bcd9947a5b648737fa84473e204e.jpg,grrlknyght,598,800,37088,0,261,110,152,488,209,Actinopterygii,Salmo_trutta,,
21892,3,Actinopterygii/Salmo_trutta/e5a81ce7c6e892a0255428a942fda515.jpg,Kevin_Burrall,597,800,59297,0,96,190,602,197,209,Actinopterygii,Salmo_trutta,,
21893,3,Actinopterygii/Salmo_trutta/8c42b231dbf3e2ffce767af902e4b29b.jpg,Steve_Zakur,530,800,74907,0,97,194,609,246,209,Actinopterygii,Salmo_trutta,,
21897,3,Actinopterygii/Salmo_trutta/dd00a6b61ccad3111e62ca3ab210cf76.jpg,gunnarb,701,800,92430,0,13,149,780,237,209,Actinopterygii,Salmo_trutta,,
21901,3,Actinopterygii/Salmo_trutta/9fb3e4d679510aa9a63fc6a97e826138.jpg,lagness,600,800,50312.5,0,120,231,575,175,209,Actinopterygii,Salmo_trutta,,
21908,3,Actinopterygii/Salmo_trutta/f1d38e556455e233ff328973fd4416ec.jpg,don_draper_iii,600,800,23232,0,178,244,363,128,209,Actinopterygii,Salmo_trutta,,
21910,3,Actinopterygii/Salmo_trutta/2ebb1297620503cdec9c637dbf737cad.jpg,Adam_Searcy,800,600,12540,0,237,335,285,88,209,Actinopterygii,Salmo_trutta,,
23728,3,Actinopterygii/Haemulon_sciurus/8ecb4e71fe99eba0972f4e75d566516b.jpg,salmonskyview,600,800,150236,0,54,11,529,568,223,Actinopterygii,Haemulon_sciurus,,
23735,3,Actinopterygii/Haemulon_sciurus/bc0790faa32c8468235fb14da98072a1.jpg,kylefitzroy,600,800,112030,0,89,215,659,340,223,Actinopterygii,Haemulon_sciurus,,
23736,3,Actinopterygii/Haemulon_sciurus/21c133eac86e3ca59b04f6e4e74179ec.jpg,callieoldfield,600,800,62930,0,140,204,434,290,223,Actinopterygii,Haemulon_sciurus,,
26811,3,Actinopterygii/Diodon_holocanthus/498e3420a7f948276431be33b4b081e3.jpg,Nezahualpilli_Tovar_Lee,600,800,16864,0,227,265,248,136,269,Actinopterygii,Diodon_holocanthus,,
26812,3,Actinopterygii/Diodon_holocanthus/ecbfb8a50626ae1b786d5103b5c0b700.jpg,Jennifer_Rycenga,441,800,59622,0,108,96,523,228,269,Actinopterygii,Diodon_holocanthus,,
26813,3,Actinopterygii/Diodon_holocanthus/2c4c365b3af80120bb167fb8ea447253.jpg,elialopezgreene,600,800,33856,0,191,245,368,184,269,Actinopterygii,Diodon_holocanthus,,
27223,3,Actinopterygii/Gambusia_affinis/6886d98bb55c2e9ecb61722c9d673387.jpg,zanskar,600,800,51984,0,191,144,456,228,275,Actinopterygii,Gambusia_affinis,,
27225,3,Actinopterygii/Gambusia_affinis/bb008a55884fe6b8749e9c02d25918db.jpg,Jonathan_Carpenter,600,800,16620,0,176,230,277,120,275,Actinopterygii,Gambusia_affinis,,
27227,3,Actinopterygii/Gambusia_affinis/15e57be8567ae2847f8a6f411d5575e1.jpg,Jonathan_Carpenter,379,800,56400,0,109,75,600,188,275,Actinopterygii,Gambusia_affinis,,
27228,3,Actinopterygii/Gambusia_affinis/9e91eefa9b137821ae8d194a9101a548.jpg,adamduvall20,600,800,7167.5,0,154,176,235,61,275,Actinopterygii,Gambusia_affinis,,
27233,3,Actinopterygii/Gambusia_affinis/3d0d5986ab18b0e7783ffe1cf3dd91e3.jpg,teamfish,600,800,12180,0,290,273,290,84,275,Actinopterygii,Gambusia_affinis,,
27234,3,Actinopterygii/Gambusia_affinis/1cfacd60d883d6151d29d8cb04d361f0.jpg,teamfish,577,800,57288,0,119,184,496,231,275,Actinopterygii,Gambusia_affinis,,
27235,2,Actinopterygii/Gambusia_affinis/3f12b45629c5958623097e2ea3684ad8.jpg,pahavit,534,800,64679.5,0,165,115,467,277,275,Actinopterygii,Gambusia_affinis,,
27237,3,Actinopterygii/Gambusia_affinis/ac03925d350ec641b82a3737e3b2b07e.jpg,mbalame99,429,800,15470,0,278,153,238,130,275,Actinopterygii,Gambusia_affinis,,
27241,3,Actinopterygii/Gambusia_affinis/4e2eb2bca0be4eaf8cef7990bc0ae16d.jpg,bioblitz-giacomini,450,800,38423,0,301,226,499,154,275,Actinopterygii,Gambusia_affinis,,
27246,3,Actinopterygii/Gambusia_affinis/c92dc2a3b4ff4a08a7ec32ab70e2be34.jpg,Roberto_R._Calderón,588,800,87516,0,69,182,612,286,275,Actinopterygii,Gambusia_affinis,,
27249,3,Actinopterygii/Gambusia_affinis/697acbd7de21af156d3a9c09d5cf8e12.jpg,Fred_Bell,530,800,2067,0,338,316,159,26,275,Actinopterygii,Gambusia_affinis,,
27252,3,Actinopterygii/Gambusia_affinis/681e2e8c50e7d0c8fee8e4da38794b39.jpg,Aaron_Lincoln,450,800,13137,0,269,182,302,87,275,Actinopterygii,Gambusia_affinis,,
27253,3,Actinopterygii/Gambusia_affinis/48758ba9379e53ee58b2f704fe3d8f11.jpg,lmenaturalist,662,800,28060,0,238,227,244,230,275,Actinopterygii,Gambusia_affinis,,
27263,3,Actinopterygii/Gambusia_affinis/03caf156331d7bfe82d860d689159396.jpg,ebio327_fish15,475,800,10868,0,287,332,286,76,275,Actinopterygii,Gambusia_affinis,,
27268,3,Actinopterygii/Gambusia_affinis/c4763459df950b416a133acd93ab6489.jpg,griff,800,600,6206,0,97,415,116,107,275,Actinopterygii,Gambusia_affinis,,
40280,5,Actinopterygii/Gambusia_holbrooki/03e879656b2cce0f3d1628f9ddcfb5a4.jpg,cwwood,541,800,35574.5,0,181,191,421,169,457,Actinopterygii,Gambusia_holbrooki,,
48720,2,Actinopterygii/Acanthurus_coeruleus/3ea48edd1533fff7d64685138f0e9ebd.jpg,Mark_Rosenstein,600,800,114165,0,156,68,590,387,539,Actinopterygii,Acanthurus_coeruleus,,
48721,3,Actinopterygii/Acanthurus_coeruleus/199e71c82832eaf6f16bb509538fcbf6.jpg,Kyle_Jones,600,800,27993,0,377,290,301,186,539,Actinopterygii,Acanthurus_coeruleus,,
48722,3,Actinopterygii/Acanthurus_coeruleus/e1b07f3289948a2cb3de5cbf6c40786e.jpg,nauhyacacoatl,600,800,2679,0,308,266,38,141,539,Actinopterygii,Acanthurus_coeruleus,,
48727,3,Actinopterygii/Acanthurus_coeruleus/a644d2b9c2a02f314e7d5390713112f7.jpg,iveirizarry,531,800,40221,0,230,155,369,218,539,Actinopterygii,Acanthurus_coeruleus,,
56039,1,Actinopterygii/Caranx_melampygus/96b98dd09f85f3fc3019dca375f5ba27.jpg,Ronald_Werson,600,800,67732,0,167,49,328,413,666,Actinopterygii,Caranx_melampygus,,
56045,3,Actinopterygii/Caranx_melampygus/9e9d6538ec6e1d64bf2bd639f36cbebc.jpg,Johnny_Wilson,600,800,30257,0,247,150,383,158,666,Actinopterygii,Caranx_melampygus,,
56557,3,Actinopterygii/Megalops_atlanticus/a4e1edd5547063b163c0d19bd241319b.jpg,FlaPack,600,800,107800,0,16,108,784,275,679,Actinopterygii,Megalops_atlanticus,,
56560,1,Actinopterygii/Megalops_atlanticus/304d1aebc5c96a618c483ecbdfd013ff.jpg,Jason_Whittle,600,800,66612,0,145,301,546,244,679,Actinopterygii,Megalops_atlanticus,,
56566,3,Actinopterygii/Megalops_atlanticus/1c34a0a7414b1132bfbecd802fef22b2.jpg,mattisb,598,800,119483,0,69,250,707,338,679,Actinopterygii,Megalops_atlanticus,,
60063,3,Actinopterygii/Gasterosteus_aculeatus/e4ba317ff638e22e1ba74d541ce43396.jpg,meriwether,600,800,13172,0,318,308,296,89,748,Actinopterygii,Gasterosteus_aculeatus,,
60066,3,Actinopterygii/Gasterosteus_aculeatus/58e559691adcb6c222e9dcc054b3df91.jpg,dfong,600,800,31465,0,180,139,290,217,748,Actinopterygii,Gasterosteus_aculeatus,,
60071,3,Actinopterygii/Gasterosteus_aculeatus/b7639010d987ef871426b577ccae45ec.jpg,fishonabike,800,597,47972,0,29,252,536,179,748,Actinopterygii,Gasterosteus_aculeatus,,
60083,6,Actinopterygii/Gasterosteus_aculeatus/99c68bc515c37a4140412c4124660183.jpg,Michelle_S._Koo,533,800,26582.5,0,266,162,343,155,748,Actinopterygii,Gasterosteus_aculeatus,,
68278,1,Actinopterygii/Pterois_volitans/d48deac35b157b44c8b23bee9c927ad1.jpg,cesavy,600,800,132071.5,0,47,61,649,407,877,Actinopterygii,Pterois_volitans,,
68280,3,Actinopterygii/Pterois_volitans/4c94f1223dac4d3cfba61c45b2a55fff.jpg,ronwooten,533,800,102547.5,0,68,119,565,363,877,Actinopterygii,Pterois_volitans,,
68281,3,Actinopterygii/Pterois_volitans/636a078a9e52dc43a94d2be1626efaae.jpg,Katy_Johns,600,800,108412.5,0,39,185,525,413,877,Actinopterygii,Pterois_volitans,,
68283,3,Actinopterygii/Pterois_volitans/d540907539621e9a8ebd03c3c48376ab.jpg,sfcn_vi,800,600,95823,0,0,68,507,378,877,Actinopterygii,Pterois_volitans,,
68290,3,Actinopterygii/Pterois_volitans/d57fbb0febf14742594af8a00c1ddfae.jpg,108868629379180184230,600,800,75390,0,250,101,359,420,877,Actinopterygii,Pterois_volitans,,
68291,1,Actinopterygii/Pterois_volitans/13562e354d41700c7e9c705413b5bd62.jpg,csavy,600,800,203600,0,0,0,800,509,877,Actinopterygii,Pterois_volitans,,
68294,3,Actinopterygii/Pterois_volitans/2ec4bd7a4b82a8ae3d2ed9759d62e364.jpg,cmeiners,600,800,115812.5,0,188,162,545,425,877,Actinopterygii,Pterois_volitans,,
68295,3,Actinopterygii/Pterois_volitans/c9bec977fda97dadfa6a6aee31ede6c9.jpg,cmeiners,600,800,27030,0,260,284,340,159,877,Actinopterygii,Pterois_volitans,,
68296,3,Actinopterygii/Pterois_volitans/a6d033139114fa363abb945fb61300c4.jpg,cmeiners,600,800,79380,0,380,21,420,378,877,Actinopterygii,Pterois_volitans,,
68298,3,Actinopterygii/Pterois_volitans/b4e5e7ddbba29ff06f4fc88bcc9187f6.jpg,Nicholas_Pollock,600,800,199728,0,33,0,684,584,877,Actinopterygii,Pterois_volitans,,
68299,3,Actinopterygii/Pterois_volitans/222eea075bba71cc2718ef7204708aa9.jpg,Nicholas_Pollock,600,800,135195.5,0,119,31,517,523,877,Actinopterygii,Pterois_volitans,,
68300,1,Actinopterygii/Pterois_volitans/e2d350572c0ae1772f840f462a065aa8.jpg,Conrad_Savy,602,800,186895.5,0,63,10,723,517,877,Actinopterygii,Pterois_volitans,,
68301,3,Actinopterygii/Pterois_volitans/1c63716345620f8dc3218934b221e130.jpg,elmanu,600,800,220500,0,0,0,735,600,877,Actinopterygii,Pterois_volitans,,
68302,3,Actinopterygii/Pterois_volitans/e2a6b04c453c8c52ffec69cdcc1ad16e.jpg,Erika_Mitchell,670,800,88433,0,138,99,463,382,877,Actinopterygii,Pterois_volitans,,
68307,3,Actinopterygii/Pterois_volitans/e05853d06d78d6179e34624d95fe1f64.jpg,Alina,600,800,96544,0,215,131,448,431,877,Actinopterygii,Pterois_volitans,,
68312,3,Actinopterygii/Pterois_volitans/eb71c00484f596461a8d5f1e7ca7e163.jpg,barbuda_peek,451,800,16541,0,235,93,278,119,877,Actinopterygii,Pterois_volitans,,
70543,3,Actinopterygii/Lepisosteus_osseus/51f62add56c3f8ccbadd70de4357d948.jpg,savannahray,800,600,33264,0,238,191,154,432,907,Actinopterygii,Lepisosteus_osseus,,
70548,3,Actinopterygii/Lepisosteus_osseus/5b63a2ada9545a947f5ce65dd931074e.jpg,Eric_Keith,800,760,125650,0,60,169,700,359,907,Actinopterygii,Lepisosteus_osseus,,
70550,3,Actinopterygii/Lepisosteus_osseus/b3a60ba318dcbfcc5a7f44a47c446665.jpg,Eric_Feldkamp,450,800,83415,0,0,131,670,249,907,Actinopterygii,Lepisosteus_osseus,,
70554,3,Actinopterygii/Lepisosteus_osseus/f94b70c6ab6bd7e6489dfde4fc39a425.jpg,tripp1978,600,800,34669.5,0,0,251,797,87,907,Actinopterygii,Lepisosteus_osseus,,
70560,3,Actinopterygii/Lepisosteus_osseus/238ed278acf49fb13c3c39f723fa38de.jpg,Kenneth_Bader,600,800,51106,0,170,335,506,202,907,Actinopterygii,Lepisosteus_osseus,,
70565,3,Actinopterygii/Lepisosteus_osseus/68cd77207413381b85febe4066286220.jpg,Greg_Lawrence,800,600,28130,0,0,469,485,116,907,Actinopterygii,Lepisosteus_osseus,,
70566,3,Actinopterygii/Lepisosteus_osseus/fc9724a0ec7ce7e5922d0aec745afbc4.jpg,davis04,800,600,97882,0,3,192,449,436,907,Actinopterygii,Lepisosteus_osseus,,
70750,3,Actinopterygii/Ictalurus_punctatus/645642ef0aa3fc9c557f0808ba9a71d5.jpg,Andy,600,800,105972.5,0,65,163,485,437,912,Actinopterygii,Ictalurus_punctatus,,
70760,3,Actinopterygii/Ictalurus_punctatus/b0be1db5908e135a2893fdb861c84e01.jpg,Neil_Balchan,600,800,86562,0,20,249,756,229,912,Actinopterygii,Ictalurus_punctatus,,
70761,3,Actinopterygii/Ictalurus_punctatus/74ae8bdf6b26423103bad8ac5496addf.jpg,hjnugent,600,800,142000,0,0,129,800,355,912,Actinopterygii,Ictalurus_punctatus,,
70763,3,Actinopterygii/Ictalurus_punctatus/c95906de57e51369efb85627dcbe3b71.jpg,Debra_Halter,600,800,11935,0,325,278,217,110,912,Actinopterygii,Ictalurus_punctatus,,
70764,3,Actinopterygii/Ictalurus_punctatus/5b2cbcc2b9d2b1aacea9636e8e379490.jpg,kylefitzroy,800,600,19591.5,0,232,282,111,353,912,Actinopterygii,Ictalurus_punctatus,,
70770,3,Actinopterygii/Ictalurus_punctatus/d1aa5b5394f8704610c4d7007f36a18e.jpg,swanson,800,597,39783,0,67,323,447,178,912,Actinopterygii,Ictalurus_punctatus,,
71561,3,Actinopterygii/Thalassoma_bifasciatum/9c0616822abb9f3d8a378986c6dd140d.jpg,mjabrego,600,800,21320,0,296,181,205,208,925,Actinopterygii,Thalassoma_bifasciatum,,
71564,1,Actinopterygii/Thalassoma_bifasciatum/f048aa97e7fda992a9997f59120dd5f8.jpg,cesavy,606,800,111000,0,208,231,592,375,925,Actinopterygii,Thalassoma_bifasciatum,,
71566,3,Actinopterygii/Thalassoma_bifasciatum/a9ff469e551918cc90084a4182518b7b.jpg,Sarka,800,800,48193.5,0,222,185,361,267,925,Actinopterygii,Thalassoma_bifasciatum,,
71578,3,Actinopterygii/Thalassoma_bifasciatum/a5d30318267b420affbf7c4acb90353d.jpg,Kenneth_Bader,520,800,3272.5,0,400,102,55,119,925,Actinopterygii,Thalassoma_bifasciatum,,
75329,3,Actinopterygii/Oligocottus_maculosus/c0727adb699f2f5d9ec19e51c78078c5.jpg,nanorca13,600,800,12330.5,0,180,265,271,91,969,Actinopterygii,Oligocottus_maculosus,,
75332,3,Actinopterygii/Oligocottus_maculosus/9ddb189f5e651e5eaef5ddcd4536a8ce.jpg,Marisa_Agarwal,600,800,166055.5,0,0,0,767,433,969,Actinopterygii,Oligocottus_maculosus,,
75334,3,Actinopterygii/Oligocottus_maculosus/af8e6e948c1e100039185de78bf0ad8a.jpg,kmh221,800,600,78256,0,21,264,292,536,969,Actinopterygii,Oligocottus_maculosus,,
75335,3,Actinopterygii/Oligocottus_maculosus/031aebb53880a83b3b22d7252ac8e425.jpg,scsurflady,600,800,65514,0,218,154,366,358,969,Actinopterygii,Oligocottus_maculosus,,
95641,3,Actinopterygii/Anguilla_rostrata/396b64d30e845911354f98d14abde028.jpg,edwardbarrettt83,800,600,6226,0,107,303,44,283,1242,Actinopterygii,Anguilla_rostrata,,
95642,3,Actinopterygii/Anguilla_rostrata/996a441811ff950850a1d6b66272e8d5.jpg,apizzala,800,600,71077.5,0,113,184,351,405,1242,Actinopterygii,Anguilla_rostrata,,
95643,3,Actinopterygii/Anguilla_rostrata/b4dcb8c039580492dae685ddb8f06779.jpg,Clinton_Alexander,800,598,64447,0,211,141,223,578,1242,Actinopterygii,Anguilla_rostrata,,
95656,3,Actinopterygii/Anguilla_rostrata/06639afa7ba72e488981a11c79545549.jpg,lauramarieplatt,800,600,129234,0,29,209,476,543,1242,Actinopterygii,Anguilla_rostrata,,
99716,3,Actinopterygii/Sparisoma_viride/a1bc1c396a3d57f370c99d280d79e23d.jpg,Brin,800,782,26400,0,186,321,352,150,1300,Actinopterygii,Sparisoma_viride,,
99727,1,Actinopterygii/Sparisoma_viride/6e28582d5e3fdb6f1fff84e49c893781.jpg,Rafael_Medina,600,800,17826.5,0,194,236,353,101,1300,Actinopterygii,Sparisoma_viride,,
99732,3,Actinopterygii/Sparisoma_viride/02208bae0bb301ccd98229230f8977bc.jpg,Kenneth_Bader,535,800,7080.5,0,363,282,119,119,1300,Actinopterygii,Sparisoma_viride,,
99736,3,Actinopterygii/Sparisoma_viride/c85cc85c4107f6150fe8fa8fe5c8e3bf.jpg,cryptocoryne,600,800,13312,0,353,222,208,128,1300,Actinopterygii,Sparisoma_viride,,
99741,3,Actinopterygii/Sparisoma_viride/8c89c8dcf6d2cbf2e0ba3cab693b6303.jpg,salmonskyview,464,800,54626,0,42,134,572,191,1300,Actinopterygii,Sparisoma_viride,,
112727,3,Actinopterygii/Diodon_hystrix/f0437880925d48930ec80c4364eddf6f.jpg,Wendy_Feltham,600,800,149467.5,0,32,0,511,585,1499,Actinopterygii,Diodon_hystrix,,
112728,3,Actinopterygii/Diodon_hystrix/ad906742044048ed8176250dcb15e387.jpg,chamaeleo,396,800,73305.5,0,48,97,541,271,1499,Actinopterygii,Diodon_hystrix,,
112729,1,Actinopterygii/Diodon_hystrix/6dea780b53d58941294807b8957e36c0.jpg,csavy,600,800,79212,0,65,157,644,246,1499,Actinopterygii,Diodon_hystrix,,
112735,3,Actinopterygii/Diodon_hystrix/9d7b3438cbd6fdd9a66c9ff398eaab46.jpg,Jose_Eduardo,614,800,12675,0,366,306,169,150,1499,Actinopterygii,Diodon_hystrix,,
112739,2,Actinopterygii/Diodon_hystrix/1d8c9939846f1bd31b40d114d2c5061c.jpg,Ken-ichi_Ueda,800,800,152243,0,107,107,637,478,1499,Actinopterygii,Diodon_hystrix,,
117670,2,Actinopterygii/Naso_lituratus/c259f5e4d6b69c273c4b423c569a255c.jpg,Ken-ichi_Ueda,600,800,125489,0,9,129,637,394,1571,Actinopterygii,Naso_lituratus,,
117675,6,Actinopterygii/Naso_lituratus/720f339427ee1f9308ee72aa302fb6cb.jpg,crusty,600,800,20812.5,0,213,244,333,125,1571,Actinopterygii,Naso_lituratus,,
117676,6,Actinopterygii/Naso_lituratus/2dfed5ff0b3959ee34c40893b234db17.jpg,crusty,600,800,121965,0,95,191,705,346,1571,Actinopterygii,Naso_lituratus,,
122013,3,Actinopterygii/Pomoxis_nigromaculatus/8cc4e560a57aa222d22f5c967f6beafc.jpg,krechmer,800,600,17748,0,310,249,204,174,1632,Actinopterygii,Pomoxis_nigromaculatus,,
122015,3,Actinopterygii/Pomoxis_nigromaculatus/16b15614fc9d1ec9dabb564ad60943ba.jpg,fmgee,600,800,108640,0,9,152,776,280,1632,Actinopterygii,Pomoxis_nigromaculatus,,
122019,3,Actinopterygii/Pomoxis_nigromaculatus/fca9f5b654a8eec103b98c514e7bfdf6.jpg,lselig,600,800,59531.5,0,101,217,511,233,1632,Actinopterygii,Pomoxis_nigromaculatus,,
130352,3,Actinopterygii/Carassius_auratus/b90bdfe3df755e4f460ed84ddee1d8c9.jpg,oryzias,520,800,98221.5,0,53,116,657,299,1754,Actinopterygii,Carassius_auratus,,
132092,3,Actinopterygii/Lepisosteus_oculatus/be48bb5dc37be11a344230a90acd7c17.jpg,griff,800,450,4048,0,149,427,88,92,1792,Actinopterygii,Lepisosteus_oculatus,,
132093,3,Actinopterygii/Lepisosteus_oculatus/1e9bf6a1779a5376e25fe46c0b2efe20.jpg,johnwilliams,532,800,59898,0,103,166,596,201,1792,Actinopterygii,Lepisosteus_oculatus,,
132098,6,Actinopterygii/Lepisosteus_oculatus/cd16e015c1ac73cf193946ab812426e5.jpg,Michael_D_Fox,600,800,17655,0,93,274,535,66,1792,Actinopterygii,Lepisosteus_oculatus,,
132100,3,Actinopterygii/Lepisosteus_oculatus/a6cd97b841a18782cd45e4cffdcc28fb.jpg,Donna_Pomeroy,533,800,99207,0,57,115,657,302,1792,Actinopterygii,Lepisosteus_oculatus,,
132104,3,Actinopterygii/Lepisosteus_oculatus/00861e2c656c7e1643ff44c2c4d9c96a.jpg,Jacob_Stagg,447,800,38019,0,147,175,551,138,1792,Actinopterygii,Lepisosteus_oculatus,,
132108,3,Actinopterygii/Lepisosteus_oculatus/4236bb369970dc2b9bb5241ad0f1ef90.jpg,beta_hardin,533,800,44640.5,0,24,216,703,127,1792,Actinopterygii,Lepisosteus_oculatus,,
138678,3,Actinopterygii/Gobiesox_maeandricus/01ce65309b9704085a8e8da747fd2bbd.jpg,smvance70,530,800,53053,0,205,208,583,182,1880,Actinopterygii,Gobiesox_maeandricus,,
138680,3,Actinopterygii/Gobiesox_maeandricus/bfce05a6bf7487a961800ce46f781fd8.jpg,Bart_Shepherd,800,800,36926.5,0,310,229,247,299,1880,Actinopterygii,Gobiesox_maeandricus,,
167585,3,Actinopterygii/Micropterus_dolomieu/352b43c629d3e6f583c1fb4e0b998541.jpg,ethanlu,600,800,109200,0,133,160,520,420,2272,Actinopterygii,Micropterus_dolomieu,,
167587,3,Actinopterygii/Micropterus_dolomieu/f34594829c0ebd449f006907567ffe43.jpg,levitrvs,597,800,36765,0,217,332,387,190,2272,Actinopterygii,Micropterus_dolomieu,,
167590,3,Actinopterygii/Micropterus_dolomieu/8c0547e98a01a2bf4ccb3ca1ce382103.jpg,kristiarbuckle,800,599,48943.5,0,67,263,201,487,2272,Actinopterygii,Micropterus_dolomieu,,
167591,3,Actinopterygii/Micropterus_dolomieu/32c87048df4d015e277c74bce17213af.jpg,Danny_Colli,601,800,19448,0,282,207,143,272,2272,Actinopterygii,Micropterus_dolomieu,,
167595,6,Actinopterygii/Micropterus_dolomieu/375c314cdbaf3c5ff92d642228dfe537.jpg,Marcus_Rosten,800,600,34900.5,0,229,324,159,439,2272,Actinopterygii,Micropterus_dolomieu,,
167598,3,Actinopterygii/Micropterus_dolomieu/fd583d00c0fd14d447750019800709ca.jpg,kaytlin,600,800,105485,0,70,182,730,289,2272,Actinopterygii,Micropterus_dolomieu,,
167599,3,Actinopterygii/Micropterus_dolomieu/07b213dfe8276ddfeeb870e684e3e7fa.jpg,jmfarrell,800,600,20437.5,0,124,245,109,375,2272,Actinopterygii,Micropterus_dolomieu,,
193680,3,Actinopterygii/Sphyraena_barracuda/589644a6bcad0391ade5cd45bab6fa44.jpg,cal100266,600,800,52750,0,79,141,500,211,2666,Actinopterygii,Sphyraena_barracuda,,
193684,3,Actinopterygii/Sphyraena_barracuda/d5be3ab58a7cf34d0cc69e1bbbe90869.jpg,Lesley_Clements,583,800,99003,0,107,172,541,366,2666,Actinopterygii,Sphyraena_barracuda,,
193685,3,Actinopterygii/Sphyraena_barracuda/9bb590089880970c854565d1f54a2a57.jpg,erecesd,450,800,24426,0,138,261,354,138,2666,Actinopterygii,Sphyraena_barracuda,,
193698,3,Actinopterygii/Sphyraena_barracuda/f9f4427104556a31c6ff296ca5526c8d.jpg,callieoldfield,560,800,66319.5,0,59,202,741,179,2666,Actinopterygii,Sphyraena_barracuda,,
193699,3,Actinopterygii/Sphyraena_barracuda/2c61b079ba298c0cf9522c2472c3b4a8.jpg,Greg_Lawrence,664,800,28314,0,219,252,396,143,2666,Actinopterygii,Sphyraena_barracuda,,
193707,3,Actinopterygii/Sphyraena_barracuda/37be4cc98e1d969cf2a7f8a481f4b01d.jpg,Sandino_Guerrero,600,800,60182.5,0,55,93,665,181,2666,Actinopterygii,Sphyraena_barracuda,,
193708,3,Actinopterygii/Sphyraena_barracuda/c9973d1ad58497d2b9be0d6a3402359a.jpg,Mattia_Menchetti,600,800,29820,0,260,158,497,120,2666,Actinopterygii,Sphyraena_barracuda,,
