id,license,file_name,height,width,coco_url,flickr_url,area,iscrowd,x_min_bb,y_min_bb,width_bb,heigth_bb,category_id,supercategory,name
14,0,5d977316-a641-4210-a47a-7e883850c3e3.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/05_12_18_04.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/05_12_18_04.png,6552,0,305,111,78,84,1,,Actinernus
15,0,a0ba708a-74d7-436d-ae10-4481a7d5ee22.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/07_01_29_17.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/07_01_29_17.png,945,0,354,212,35,27,1,,Actinernus
16,0,34c0bc12-f8a2-467a-9f24-f68b34763fd9.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/07_03_38_29.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/07_03_38_29.png,1216,0,671,257,38,32,1,,Actinernus
17,0,7e93a48b-e947-4f3b-9284-7331723866b6.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/08_23_26_17.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/08_23_26_17.png,16510,0,278,148,127,130,1,,Actinernus
18,0,81bc77c1-c2fd-48d3-b4ca-c063a9f81329.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/08_32_58_15.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/278/08_32_58_15.png,3933,0,185,165,69,57,1,,Actinernus
19,0,f38f2421-20e0-4c5a-8ab7-668dafae50fe.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/282/03_15_00_04.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2000/282/03_15_00_04.png,2867,0,240,120,61,47,1,,Actinernus
20,0,d2f14a71-16b3-414d-bda1-31b03cfbfd02.png,486,716,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0243/04_04_28_25.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0243/04_04_28_25.png,14399,0,406,194,119,121,1,,Actinernus
22,0,42fc5742-4d4c-48d2-9e66-befe2eb8e066.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2001/113/10_33_53_25.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2001/113/10_33_53_25.png,100566,0,127,163,333,302,1,,Actinernus
23,0,cb3dd06b-ffc1-4210-b28e-0b6fe0fa3827.png,482,704,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0357/10_13_38_25.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0357/10_13_38_25.png,37824,0,387,186,192,197,1,,Actinernus
24,0,c6e7cd58-8917-4447-9cbe-7ba0c4c4aece.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/269/03_21_32_01.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/269/03_21_32_01.png,12544,0,168,134,112,112,1,,Actinernus
25,0,dfd826ef-bb4e-471d-8a5d-d426a07805f6.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0487/00_00_16_12.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0487/00_00_16_12.png,4830,0,373,387,70,69,1,,Actinernus
26,0,a9c80d39-ef7f-4e98-9db7-e5b2a01547bc.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/00_33_23_29.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/00_33_23_29.png,4095,0,329,209,65,63,1,,Actinernus
27,0,95664715-c1d7-4236-a243-ab13ae66865b.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/02_59_46_08.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/02_59_46_08.png,3588,0,611,297,69,52,1,,Actinernus
28,0,df60f13c-1db0-4d5b-8a3c-bc77588f0620.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/04_55_56_02.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/04_55_56_02.png,7140,0,611,290,84,85,1,,Actinernus
29,0,b12ecedc-c605-428d-8542-6b9048b5569e.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_48_23_11.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_48_23_11.png,8835,0,43,73,95,93,1,,Actinernus
30,0,ad2d2a48-c1ef-44d1-91de-61901ce92623.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_49_04_10.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_49_04_10.png,8800,0,349,220,100,88,1,,Actinernus
31,0,b1c1d775-bcb8-4911-9a2d-d6bef139eb75.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_49_46_09.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_49_46_09.png,6162,0,190,51,79,78,1,,Actinernus
32,0,7d84ea55-4a25-4986-8889-5037cbf91a99.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_50_41_22.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_50_41_22.png,20172,0,428,0,164,123,1,,Actinernus
33,0,59c1bcd6-e327-4c91-af8e-80574fd2a7e8.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_50_44_22.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_50_44_22.png,24288,0,571,301,138,176,1,,Actinernus
34,0,aacd79b1-35dd-4eb2-ac60-3e2c143fefcf.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_51_15_21.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_51_15_21.png,1240,0,126,141,40,31,1,,Actinernus
35,0,ae2e691b-0cde-4b1c-8e4b-bae9743d1a9b.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_57_06_10.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/05_57_06_10.png,648,0,580,155,27,24,1,,Actinernus
36,0,8969d199-4160-4fcb-9092-ebb3bf3d6094.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_24_03_13.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_24_03_13.png,2322,0,465,252,43,54,1,,Actinernus
37,0,87ae128a-13c9-471d-8c65-ffe659e08e8a.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_27_21_06.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_27_21_06.png,1254,0,360,221,33,38,1,,Actinernus
38,0,c646bb5a-55af-4a42-8f0e-76ae8804ba08.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_27_23_22.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_27_23_22.png,1575,0,472,198,45,35,1,,Actinernus
39,0,6b8e8533-d20c-47cd-be5f-360252b9fabd.png,486,715,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_28_02_05.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2002/283/06_28_02_05.png,2205,0,453,41,45,49,1,,Actinernus
40,0,2fa18a6c-8474-47ec-9602-8bc5cb20b013.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_36_58_06.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_36_58_06.png,17702,0,394,171,167,106,1,,Actinernus
41,0,c5201a90-21c5-422f-953e-b6b46495b235.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_37_11_06.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_37_11_06.png,34773,0,34,222,173,201,1,,Actinernus
42,0,bdc998cd-58ea-4ce8-b0bf-a54bba24cab3.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_39_05_03.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/101/04_39_05_03.png,10368,0,181,144,96,108,1,,Actinernus
43,0,e39e0814-0055-4756-8303-03ab84874f89.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/02_11_34_02.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/02_11_34_02.png,9922,0,578,71,121,82,1,,Actinernus
44,0,a87635d0-5f0f-4f7e-b046-331d003c84cf.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_10_52_15.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_10_52_15.png,2550,0,275,303,50,51,1,,Actinernus
45,0,18819089-94ee-4385-a23c-c6b14a95b5f0.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_11_58_28.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_11_58_28.png,6059,0,133,121,83,73,1,,Actinernus
47,0,964c86ab-7aa0-4fd6-8820-68b1ab4afa57.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_00_11.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_00_11.png,2350,0,182,193,50,47,1,,Actinernus
48,0,971e0a26-2b9c-4f1a-8bbe-bd88ab0a448d.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_09_25.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_09_25.png,19285,0,150,351,145,133,1,,Actinernus
49,0,0c6b07cf-a199-4c87-8ac5-2f78eeb86b98.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_18_10.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2003/220/03_13_18_10.png,31160,0,310,124,164,190,1,,Actinernus
50,0,c2425e41-4805-4212-a226-5cefbe73140c.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/128/06_05_52_20.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/128/06_05_52_20.png,49203,0,221,5,231,213,1,,Actinernus
52,0,d382c85f-d176-4cfe-9aa5-7965a5e4413e.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_16_58_00.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_16_58_00.png,1722,0,156,383,41,42,1,,Actinernus
53,0,4824be47-13a1-400d-9353-9d494398bced.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_43_33_12.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_43_33_12.png,1368,0,150,418,36,38,1,,Actinernus
54,0,ebb4376c-965b-47f3-b217-c8315ad464a7.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_44_54_10.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/01_44_54_10.png,2491,0,444,112,47,53,1,,Actinernus
55,0,d99293b8-c577-4a3d-a835-78111157a560.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/02_57_13_06.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/02_57_13_06.png,2162,0,372,44,46,47,1,,Actinernus
57,0,e4b933ed-7335-4cff-b226-75444e0a94eb.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/04_02_28_05.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0833/04_02_28_05.png,3024,0,615,151,54,56,1,,Actinernus
58,0,8d3a787e-4e62-49b6-bda1-cecdf697ef13.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0887/07_29_44_19.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0887/07_29_44_19.png,40404,0,94,153,222,182,1,,Actinernus
59,0,670783e2-3c30-4e95-abff-af1c659be85f.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0887/07_29_59_04.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0887/07_29_59_04.png,70320,0,345,81,293,240,1,,Actinernus
60,0,8e7e5b2f-6ee5-4835-9f01-389711bc4688.png,486,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0889/03_31_46_02.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0889/03_31_46_02.png,4345,0,197,94,79,55,1,,Actinernus
61,0,0c5b9bb4-45b8-424b-a6f9-fd38744fcdd3.png,368,720,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0957/00_24_49_22.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0957/00_24_49_22.png,14508,0,267,141,156,93,1,,Actinernus
62,0,0dab60c4-0649-40e6-9391-52990852f0cb.png,369,713,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0977/01_31_21_12.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/images/0977/01_31_21_12.png,4422,0,120,60,67,66,1,,Actinernus
318,0,b567650c-4904-457f-a223-fa6d9a0e7892.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_05_04_06--967e7185-27c9-414e-8c66-ba8dea645eab.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_05_04_06--967e7185-27c9-414e-8c66-ba8dea645eab.png,2250,0,1652,856,50,45,1,,Actinernus
319,0,76bf6993-59da-4a0f-9e9f-27615a62276e.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_05_15.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_05_15.png,16368,0,1141,984,176,93,1,,Actinernus
320,0,c86a0cb0-eb3f-411d-a5f3-5767a066ebf9.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_08_00.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_08_00.png,35298,0,888,914,222,159,1,,Actinernus
321,0,780443db-a67f-49f8-b777-c8515b675dc2.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_16_21--967e7185-27c9-414e-8c66-ba8dea645eab.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_16_21--967e7185-27c9-414e-8c66-ba8dea645eab.png,132995,0,335,142,397,335,1,,Actinernus
322,0,17c9ac5d-0287-4563-b7ae-51ac22b3b11a.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_30_15.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_30_15.png,133907,0,762,422,373,359,1,,Actinernus
323,0,e60f5c51-ee5e-41ea-9041-4d800f83c883.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_46_15.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_46_15.png,118530,0,519,675,439,270,1,,Actinernus
324,0,122d35a3-880b-4529-8f9a-76d4f8262f73.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_54_15.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1004/05_12_54_15.png,26702,0,521,432,169,158,1,,Actinernus
327,0,69543226-6314-47f1-b5f2-61c2c15bbf00.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T155653Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T155653Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,23380,0,1447,714,167,140,1,,Actinernus
328,0,be8b5275-f342-4387-b034-578ea1b92038.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160036Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160036Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,16482,0,555,538,134,123,1,,Actinernus
329,0,f2068724-61d9-43a8-894a-6784271c2ea8.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160750Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160750Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,9450,0,757,235,90,105,1,,Actinernus
330,0,9408f135-e968-4f47-bb9f-35fc5cc60859.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160902Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160902Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,5467,0,1214,719,77,71,1,,Actinernus
331,0,86177eae-7102-491b-92a9-407512eeef1a.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160945Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1169/20190716T160945Z--50162061-fa29-46ad-9c18-8e34ab05db5f.png,4692,0,1289,716,68,69,1,,Actinernus
332,0,4172b65a-8b4f-4175-94e4-00187e2d5f33.png,1079,1920,https://fathomnet.org/static/m3/framegrabs/Mini%20ROV/images/145/772004--372cce99-76c2-44d4-a67f-687930fafa6a.png,https://fathomnet.org/static/m3/framegrabs/Mini%20ROV/images/145/772004--372cce99-76c2-44d4-a67f-687930fafa6a.png,51200,0,200,433,256,200,1,,Actinernus
333,0,598f8923-493d-458a-814b-a5b661771968.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1242/20200130T193900Z--1e3d6cea-7887-485b-9fd6-f1ca8a04a5f2.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1242/20200130T193900Z--1e3d6cea-7887-485b-9fd6-f1ca8a04a5f2.png,85836,0,767,497,311,276,1,,Actinernus
334,0,981fbce8-6c2a-4cdc-a25b-b2b6666fbaa1.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1262/20200305T182137Z--0a9eb602-4694-47f7-b7a9-943ca147d32c.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1262/20200305T182137Z--0a9eb602-4694-47f7-b7a9-943ca147d32c.png,4032,0,922,828,72,56,1,,Actinernus
335,0,34c8c44d-8ef0-4134-afaf-1aae934df728.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1262/352719--c16ffffb-0909-468a-b056-9bacf9883d7e.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/1262/352719--c16ffffb-0909-468a-b056-9bacf9883d7e.png,11760,0,1331,861,112,105,1,,Actinernus
336,0,25219cae-f48e-430a-b593-cf0f45dca715.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_08_05.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_08_05.png,3174,0,31,703,69,46,2,,Aegina
337,0,10b64a8b-cccf-4690-92ba-decd5ce806ce.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_20_19.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_20_19.png,3626,0,1394,282,49,74,2,,Aegina
338,0,8cb72791-5657-4741-ac45-c42a0bc04a86.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0057/02_07_46_29.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0057/02_07_46_29.png,16510,0,827,730,130,127,2,,Aegina
339,0,f7d3910e-b110-486f-a998-deb43e20ecbe.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_23_19.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_23_19.png,3290,0,3,519,70,47,2,,Aegina
340,0,d6c76e4c-7de2-4d4f-a3b5-e3525148ee84.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0339/06_14_56_02.png,https://fathomnet.org/static/m3/framegrabs/Doc%20Ricketts/images/0339/06_14_56_02.png,2976,0,1359,578,62,48,2,,Aegina
341,0,193af006-6fc2-41f9-85b6-d37534e27337.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_03_05.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_03_05.png,2145,0,0,655,39,55,2,,Aegina
342,0,c52c4cf6-11f9-4d87-b6c1-1670f69798ba.png,366,640,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_35_48_09.png,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_35_48_09.png,2128,0,399,254,38,56,2,,Aegina
343,0,385b0ee9-2d9d-4b2f-b6f9-93f4b571c8eb.png,366,640,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_23_54_01.png,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_23_54_01.png,840,0,439,101,35,24,2,,Aegina
344,0,37b7ada7-1241-40c9-8c1b-179bf426eec5.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/279/08_02_01_12.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/279/08_02_01_12.png,249424,0,0,0,524,476,2,,Aegina
345,0,ddad4540-ec95-4cc6-b3f9-2acbd01024da.png,366,640,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_29_12_21.png,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_29_12_21.png,510,0,437,147,30,17,2,,Aegina
346,0,4debcb96-0a25-4cfa-b90e-f9e186d57a52.png,366,640,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_35_58_23.png,https://fathomnet.org/static/m3/framegrabs/Ventana/stills/2002/213/01_35_58_23.png,374,0,387,141,22,17,2,,Aegina
347,0,fb4dff4c-df1c-4b70-ac88-2f7b00a7cfc6.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_21_26_04.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_21_26_04.png,1404,0,1502,619,27,52,2,,Aegina
348,0,9d01798f-582c-4247-8b46-1aa827d82bd1.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_00_05.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_00_05.png,2200,0,22,623,55,40,2,,Aegina
349,0,dc0914e7-d5cb-4212-9465-808a5aa68a91.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_19_04.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0056/02_20_19_04.png,630,0,1226,789,30,21,2,,Aegina
350,0,31cee9e6-1ed6-494a-827c-bfb3a7689ca1.png,1080,1920,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0057/02_07_42_14.png,https://fathomnet.org/static/m3/framegrabs/MiniROV/images/0057/02_07_42_14.png,10320,0,970,734,120,86,2,,Aegina
351,0,e626b4a8-7dd6-40c0-aa4e-e65475cad01b.png,486,714,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/279/08_01_40_13.png,https://fathomnet.org/static/m3/framegrabs/Tiburon/stills/2004/279/08_01_40_13.png,24948,0,169,169,162,154,2,,Aegina
