id,license,file_name,rights_holder,height,width,area,iscrowd,X_bb,Y_bb,width_bb,heigth_bb,category_id,supercategory,name
35724,3,Amphibia/Ambystoma_macrodactylum/1d70f3049ff80c75bee40233b49d4510.jpg,heatherp81,800,600,48672,0,103,184,468,208,397,Amphibia,Ambystoma_macrodactylum
35729,3,Amphibia/Ambystoma_macrodactylum/edaf632a49fff0016cd788483f9c5930.jpg,kathawk,640,800,85500,0,268,81,375,456,397,Amphibia,Ambystoma_macrodactylum
35740,3,Amphibia/Ambystoma_macrodactylum/0f1171cebcc524ba35087f851255748b.jpg,Sam_McNally,598,800,72376,0,101,218,664,218,397,Amphibia,Ambystoma_macrodactylum
35746,3,Amphibia/Ambystoma_macrodactylum/a5cc6641ebd30a22133e60cfd726238a.jpg,vncdatatech01,600,800,97933,0,100,205,614,319,397,Amphibia,Ambystoma_macrodactylum
434450,1,Amphibia/Ambystoma_macrodactylum/05c38ecadfeb48bcb6d746f477be87d3.jpg,Carey_B,600,800,87267.5,0,282,70,335,521,397,Amphibia,Ambystoma_macrodactylum
434455,3,Amphibia/Ambystoma_macrodactylum/619b56b1e91c401cc11f949fe32ab85d.jpg,Robby_Deans,600,800,79605,0,95,91,522,305,397,Amphibia,Ambystoma_macrodactylum
434468,3,Amphibia/Ambystoma_macrodactylum/1fd3a5b2d9215ed5f28d1283d4239699.jpg,Kerri_Wheeler,800,597,33823,0,177,263,227,298,397,Amphibia,Ambystoma_macrodactylum
385209,3,Animalia/Harpaphe_haydeniana/98ac424cb2bd7c6de8fd41e22c09851c.jpg,salmonskyview,725,800,46288,0,247,54,176,526,4854,Animalia,Harpaphe_haydeniana
385211,3,Animalia/Harpaphe_haydeniana/4f965a92250d62a7ec3d3647a764f823.jpg,Brittany_Burson,450,800,33666,0,192,140,372,181,4854,Animalia,Harpaphe_haydeniana
385212,3,Animalia/Harpaphe_haydeniana/9dcd071b5f490605cbde009dfcf7ead3.jpg,gshugart,800,600,42750,0,98,100,150,570,4854,Animalia,Harpaphe_haydeniana
385217,3,Animalia/Harpaphe_haydeniana/7ac3c4f5ef4f9daabe5dc52417271652.jpg,rileyt92,800,600,13186.5,0,196,260,149,177,4854,Animalia,Harpaphe_haydeniana
385218,3,Animalia/Harpaphe_haydeniana/27313966897c184c2b03d90ec92340e0.jpg,christine_eleanor,600,800,18705,0,272,305,290,129,4854,Animalia,Harpaphe_haydeniana
385222,6,Animalia/Harpaphe_haydeniana/f09789898c9ba65ee56eb230cfdbeaa8.jpg,Amy_Rapport,790,800,93250,0,176,154,373,500,4854,Animalia,Harpaphe_haydeniana
385237,3,Animalia/Harpaphe_haydeniana/404d355d6b7190fc314fa37ec4caf52f.jpg,windupbird,800,600,10725,0,196,295,150,143,4854,Animalia,Harpaphe_haydeniana
385238,1,Animalia/Harpaphe_haydeniana/c65f9cbc3d85606a634ff9903eacecb6.jpg,megatherium,800,578,49288,0,199,163,202,488,4854,Animalia,Harpaphe_haydeniana
385240,3,Animalia/Harpaphe_haydeniana/a42d12dc360aabc595fa7f994d695085.jpg,sheinav,600,800,18500,0,372,43,100,370,4854,Animalia,Harpaphe_haydeniana
385242,6,Animalia/Harpaphe_haydeniana/29b72fae055e3a029cb1fe8acc04b188.jpg,101595408250610106310,600,800,123679,0,74,176,674,367,4854,Animalia,Harpaphe_haydeniana
385247,3,Animalia/Harpaphe_haydeniana/aff4eb96ab4ffb7679d2385896c3e2ff.jpg,pdecino,600,800,20223,0,395,170,107,378,4854,Animalia,Harpaphe_haydeniana
385254,3,Animalia/Harpaphe_haydeniana/263923dce955413a9460500a03be4bf0.jpg,kalibardo,800,600,26529,0,110,416,222,239,4854,Animalia,Harpaphe_haydeniana
385260,3,Animalia/Harpaphe_haydeniana/df2333f8e466b3872d809197d3b8681b.jpg,jbarcelon,800,600,68900,0,57,154,424,325,4854,Animalia,Harpaphe_haydeniana
385261,3,Animalia/Harpaphe_haydeniana/28bb41ac8a467dfa670a0194e2dec1b7.jpg,nicktrow,600,800,31122,0,250,210,468,133,4854,Animalia,Harpaphe_haydeniana
385262,3,Animalia/Harpaphe_haydeniana/06f866f55ec3db7b5048ab50026bc964.jpg,junellemay,800,600,15113,0,165,300,238,127,4854,Animalia,Harpaphe_haydeniana
385263,3,Animalia/Harpaphe_haydeniana/8a3d051ab642275972b2a42a263219a6.jpg,binder-kiwi,600,800,9194.5,0,217,251,259,71,4854,Animalia,Harpaphe_haydeniana
385267,3,Animalia/Harpaphe_haydeniana/5d225edc6affa973a918802b43c6b487.jpg,raindog2035,627,800,37506,0,208,241,399,188,4854,Animalia,Harpaphe_haydeniana
385271,3,Animalia/Harpaphe_haydeniana/907e2b21e071325d372179ab9c93acd5.jpg,schambers,800,597,6900,0,193,214,230,60,4854,Animalia,Harpaphe_haydeniana
385272,3,Animalia/Harpaphe_haydeniana/0151a46fdb836b76c345582dc397fa97.jpg,tulalola,800,600,14861,0,117,362,386,77,4854,Animalia,Harpaphe_haydeniana
657907,3,Animalia/Harpaphe_haydeniana/74c0dd3f74f3468272339ba58b622a20.jpg,camilledawn,598,800,11700,0,277,280,260,90,4854,Animalia,Harpaphe_haydeniana
657922,3,Animalia/Harpaphe_haydeniana/0aa3ab762be504bcd532fd8b970748dd.jpg,"Joseluis_""Louie""_Ocaranza",600,800,22932,0,221,181,182,252,4854,Animalia,Harpaphe_haydeniana
657926,3,Animalia/Harpaphe_haydeniana/7fdb6207fef02d70d5c8b7bb3dcd6021.jpg,Cailin_O'Connor_Fitzpatrick,600,800,65143.5,0,226,114,317,411,4854,Animalia,Harpaphe_haydeniana
657927,3,Animalia/Harpaphe_haydeniana/13cc885ea43d131f84871701b78b7ff0.jpg,rhyax,450,800,33000,0,179,129,300,220,4854,Animalia,Harpaphe_haydeniana
657932,3,Animalia/Harpaphe_haydeniana/474667cfbc5330fd0f393bfb29faa8eb.jpg,Mike_Hamilton,800,597,5025,0,171,354,201,50,4854,Animalia,Harpaphe_haydeniana
657933,3,Animalia/Harpaphe_haydeniana/304780d9b3ed3d96c605e7b1a01d4e23.jpg,Bill_Miller,600,800,13387.5,0,312,243,153,175,4854,Animalia,Harpaphe_haydeniana
657934,3,Animalia/Harpaphe_haydeniana/dade7cfa6255ecb25b7fa87c19579127.jpg,moherron,800,600,48246,0,127,152,204,473,4854,Animalia,Harpaphe_haydeniana
657935,3,Animalia/Harpaphe_haydeniana/5db9602807efa4efc7b8acb1ae279a81.jpg,Ben_Phalan,599,800,51196.5,0,181,171,367,279,4854,Animalia,Harpaphe_haydeniana
657940,3,Animalia/Harpaphe_haydeniana/a5e79066cfea7c086c5b47aa92f37145.jpg,Tess,600,800,6902,0,333,232,116,119,4854,Animalia,Harpaphe_haydeniana
657943,3,Animalia/Harpaphe_haydeniana/70aa31d278da51a0131b4411a2ca0fa4.jpg,Rusty_Niknax,600,800,43015.5,0,302,113,237,363,4854,Animalia,Harpaphe_haydeniana
226459,3,Amphibia/Anaxyrus_cognatus/bfb04c515e38637017d30e79ee8c7baa.jpg,sidney_riddle,800,600,15447.5,0,189,288,185,167,3058,Amphibia,Anaxyrus_cognatus
226460,3,Amphibia/Anaxyrus_cognatus/3200df935e7bdf8488530976af57db17.jpg,Andy_Bridges,600,800,50540,0,223,203,380,266,3058,Amphibia,Anaxyrus_cognatus
226463,3,Amphibia/Anaxyrus_cognatus/053089ee21cd05333c160b7fae7ee403.jpg,skystevens,600,800,16548,0,313,225,197,168,3058,Amphibia,Anaxyrus_cognatus
226464,3,Amphibia/Anaxyrus_cognatus/5bf10193449b3fab9b25031eb09c71b3.jpg,Andy_Bridges,600,800,10203,0,381,270,179,114,3058,Amphibia,Anaxyrus_cognatus
226468,3,Amphibia/Anaxyrus_cognatus/9d5a89756443cadc4caf4acafe335b8b.jpg,Jesse_Martin_Jr.,800,600,131689,0,3,140,551,478,3058,Amphibia,Anaxyrus_cognatus
226470,3,Amphibia/Anaxyrus_cognatus/289e354afc274a1023d879d22fd63c45.jpg,texasblonde,800,600,23040,0,227,426,256,180,3058,Amphibia,Anaxyrus_cognatus
226473,3,Amphibia/Anaxyrus_cognatus/103789d1cd246c92d0723638aeb6eb23.jpg,tasprague,600,800,11508,0,291,243,137,168,3058,Amphibia,Anaxyrus_cognatus
226476,3,Amphibia/Anaxyrus_cognatus/8b1c1efec69f18ddf4ae2b925ee6d855.jpg,Brian_Hinds,737,800,128790,0,64,181,636,405,3058,Amphibia,Anaxyrus_cognatus
226477,3,Amphibia/Anaxyrus_cognatus/103d97de030e6244f64264fbe6fb69d5.jpg,nighthawk0083,800,600,18980.5,0,110,428,187,203,3058,Amphibia,Anaxyrus_cognatus
226478,3,Amphibia/Anaxyrus_cognatus/51a9c2484727cab135bd724af9cfab0a.jpg,skiman1016,800,600,35380,0,147,245,290,244,3058,Amphibia,Anaxyrus_cognatus
226480,3,Amphibia/Anaxyrus_cognatus/14f45e95b6c9f2967267f8357d114db3.jpg,Jenny_Smith,607,800,47838.5,0,239,216,397,241,3058,Amphibia,Anaxyrus_cognatus
226481,3,Amphibia/Anaxyrus_cognatus/216ca7714764fe93ba38816704723de0.jpg,Jenny_Smith,800,714,65155,0,233,270,415,314,3058,Amphibia,Anaxyrus_cognatus
226482,3,Amphibia/Anaxyrus_cognatus/ddde000a42001f193cf19a3962814e52.jpg,Jenny_Smith,800,600,149688,0,168,0,432,693,3058,Amphibia,Anaxyrus_cognatus
226485,3,Amphibia/Anaxyrus_cognatus/4d0338772006382e6f88946feff97198.jpg,amarsh,800,600,5768,0,213,275,112,103,3058,Amphibia,Anaxyrus_cognatus
226493,3,Amphibia/Anaxyrus_cognatus/7da846038e7d740e2fb1a64a8b624de7.jpg,scottwahlberg,620,800,131936,0,106,111,608,434,3058,Amphibia,Anaxyrus_cognatus
226494,3,Amphibia/Anaxyrus_cognatus/029463ea90758d78f036f495c95a742a.jpg,dhalter,488,800,10480.5,0,322,174,137,153,3058,Amphibia,Anaxyrus_cognatus
226495,3,Amphibia/Anaxyrus_cognatus/c6726ea157a31a62168ce2a32dd9616d.jpg,amarsh,800,600,16082,0,215,296,172,187,3058,Amphibia,Anaxyrus_cognatus
226496,3,Amphibia/Anaxyrus_cognatus/a35edd7a62e2c1e2b26b6f3a1bf03c3b.jpg,nighthawk0083,800,600,20819,0,64,338,218,191,3058,Amphibia,Anaxyrus_cognatus
226497,3,Amphibia/Anaxyrus_cognatus/e3d7fda01ebebd600b391b45c411c7c1.jpg,Romey_Swanson,800,600,45885,0,264,397,285,322,3058,Amphibia,Anaxyrus_cognatus
226498,3,Amphibia/Anaxyrus_cognatus/39af22f18b6dc1c8843e9897d5144d05.jpg,Romey_Swanson,600,800,166582,0,204,40,596,559,3058,Amphibia,Anaxyrus_cognatus
226501,3,Amphibia/Anaxyrus_cognatus/99c852e1f646b3a55dd9dc8ea7a8303f.jpg,meliii,800,800,123424,0,121,113,464,532,3058,Amphibia,Anaxyrus_cognatus
554838,3,Amphibia/Anaxyrus_cognatus/d126651a87cded2f1b1bd4ece67ee84e.jpg,johnwilliams,531,800,117693.5,0,98,63,587,401,3058,Amphibia,Anaxyrus_cognatus
554839,3,Amphibia/Anaxyrus_cognatus/90faac032379b4014667dcdb49b9c057.jpg,ssprague,600,800,71808,0,360,81,384,374,3058,Amphibia,Anaxyrus_cognatus
554843,3,Amphibia/Anaxyrus_cognatus/b2e3758e3de40a32937dcb5c42da8d3a.jpg,Josh_Cantor,536,800,5525,0,442,223,130,85,3058,Amphibia,Anaxyrus_cognatus
554844,3,Amphibia/Anaxyrus_cognatus/312fb85667ce036462feb86de7db244c.jpg,susiewhe,600,800,10582,0,319,243,148,143,3058,Amphibia,Anaxyrus_cognatus
554849,6,Amphibia/Anaxyrus_cognatus/0985ed1ed000b186adb9855f7c55506e.jpg,Logan_Ediger,800,600,78765,0,144,239,354,445,3058,Amphibia,Anaxyrus_cognatus
554850,3,Amphibia/Anaxyrus_cognatus/54b481faa1379f8a4d828918227198f5.jpg,ssprague,600,800,46365,0,403,244,281,330,3058,Amphibia,Anaxyrus_cognatus
554855,3,Amphibia/Anaxyrus_cognatus/808c3063913f69a082b4df478e0ad8d8.jpg,Josh_Cantor,800,600,1200,0,306,350,60,40,3058,Amphibia,Anaxyrus_cognatus
554856,6,Amphibia/Anaxyrus_cognatus/60758e62c60c400ac7f46fce94e1e793.jpg,Logan_Ediger,800,600,100657,0,105,272,382,527,3058,Amphibia,Anaxyrus_cognatus
554860,3,Amphibia/Anaxyrus_cognatus/dfea460c30b4cd07782e90e546e6ec74.jpg,ssprague,600,800,101913,0,119,112,483,422,3058,Amphibia,Anaxyrus_cognatus
325685,3,Animalia/Narceus_americanus/851922e223daaa64c37569ec11a1c610.jpg,Steven_Barney,450,800,26544,0,321,117,224,237,4238,Animalia,Narceus_americanus
325691,3,Animalia/Narceus_americanus/16a09e55b5092cc4a4a7785ac3ff8e92.jpg,owenm,800,600,31360.5,0,111,200,303,207,4238,Animalia,Narceus_americanus
325697,3,Animalia/Narceus_americanus/5bb6ae9619b77ad48e5a0bfed6fcda34.jpg,sth_environmental_science,600,800,12136.5,0,393,108,87,279,4238,Animalia,Narceus_americanus
325705,3,Animalia/Narceus_americanus/1ef633142225b5673e66c4ae9c97c35a.jpg,bonnie.eamick@gmail.com,600,800,18282.5,0,205,253,515,71,4238,Animalia,Narceus_americanus
325706,3,Animalia/Narceus_americanus/936b0532179e1eb1ee6fd284056b6c3a.jpg,zhengmichael_112,600,800,16115,0,198,274,293,110,4238,Animalia,Narceus_americanus
325715,3,Animalia/Narceus_americanus/d5bb08608e8e4765004aaa15e88b7868.jpg,Kenneth_Bader,600,800,21423,0,277,192,222,193,4238,Animalia,Narceus_americanus
325719,3,Animalia/Narceus_americanus/a542309d655ca90d5aff92be0ba83f3c.jpg,hcc6,800,600,14920.5,0,65,344,343,87,4238,Animalia,Narceus_americanus
325720,2,Animalia/Narceus_americanus/60501ca1a4d2d73ed2b0b3a72b8f7392.jpg,annagypsy,800,600,20548,0,69,355,467,88,4238,Animalia,Narceus_americanus
618576,3,Animalia/Narceus_americanus/fec2ac5f8a2a50ab5235d87d16f6325e.jpg,elspethpierce,800,600,26160,0,216,324,160,327,4238,Animalia,Narceus_americanus
618577,3,Animalia/Narceus_americanus/26f9bbeb56425df74aea8a684a7d1c39.jpg,weberbirding,600,800,59182,0,112,220,466,254,4238,Animalia,Narceus_americanus
618578,3,Animalia/Narceus_americanus/11e728e7dacbbcbd94ea6793f035bee7.jpg,Alison_Forde,600,800,75735,0,0,85,459,330,4238,Animalia,Narceus_americanus
618581,3,Animalia/Narceus_americanus/156dc45c76c900f6a80b12906c56fc7c.jpg,Cullen_Hanks,596,800,31616,0,240,186,304,208,4238,Animalia,Narceus_americanus
618586,6,Animalia/Narceus_americanus/208740a5ecad756633d94c5098e9b214.jpg,Jessica_Newbern,800,600,14017.5,0,95,288,315,89,4238,Animalia,Narceus_americanus
618587,3,Animalia/Narceus_americanus/e8327f4d3608e56e6b1091709a296f48.jpg,athryn,600,800,32841,0,162,195,534,123,4238,Animalia,Narceus_americanus
618590,6,Animalia/Narceus_americanus/4f6e697bf8c9ec7cb5c87dc9e1d7062c.jpg,crusty,800,531,9342,0,254,598,173,108,4238,Animalia,Narceus_americanus
92549,3,Animalia/Narceus_annularus/bbe0731cee74afc77158f64a14325a56.jpg,kelliharris,800,800,109948.5,0,113,184,461,477,1195,Animalia,Narceus_annularus
92552,3,Animalia/Narceus_annularus/50e18bc08d6388ca800f18638bfdbdad.jpg,Jonathan_Carpenter,281,800,55257.5,0,57,62,713,155,1195,Animalia,Narceus_annularus
92553,6,Animalia/Narceus_annularus/44a4f6db3bf78e4b07501118e9b70e03.jpg,somadjinn,534,800,108661,0,114,88,602,361,1195,Animalia,Narceus_annularus
92556,3,Animalia/Narceus_annularus/1e06f1daf549cfca8a95ac8d852d708a.jpg,ecologyelise,524,800,37771.5,0,146,167,507,149,1195,Animalia,Narceus_annularus
92559,3,Animalia/Narceus_annularus/22457c8c833a75758a11a6de974c280a.jpg,suemeeker,800,600,50343,0,51,397,519,194,1195,Animalia,Narceus_annularus
92562,3,Animalia/Narceus_annularus/e0494f9e2dd9cf4ea50777e39f99255d.jpg,Evan_Raskin,800,600,38579,0,204,266,223,346,1195,Animalia,Narceus_annularus
92564,3,Animalia/Narceus_annularus/ffa66de036238f92bed2fb5b959d64e0.jpg,wolfhoundgirl,450,800,34417,0,275,71,254,271,1195,Animalia,Narceus_annularus
470227,3,Animalia/Narceus_annularus/dc9c8a5ec149900d6c15598405e7e128.jpg,Manuela_Dal_Forno,600,800,35658,0,101,295,566,126,1195,Animalia,Narceus_annularus
470232,3,Animalia/Narceus_annularus/1bbe128936315b6f9cf42bcf3861b956.jpg,wewhosingthesongofearth,800,600,86782.5,0,54,56,315,551,1195,Animalia,Narceus_annularus
261541,3,Arachnida/Amblyomma_americanum/66dfd2869ae996aa2fd23faf385424bc.jpg,laurentaake,600,800,6050,0,434,202,121,100,3518,Arachnida,Amblyomma_americanum
261542,3,Arachnida/Amblyomma_americanum/d30c8f7f1c478762455345c6ebe68a2d.jpg,Rolling_Meadows_Farm,800,535,47804,0,95,277,296,323,3518,Arachnida,Amblyomma_americanum
261544,3,Arachnida/Amblyomma_americanum/b31767684d86bf534c44dbe209e76679.jpg,judygva,800,536,139230,0,79,73,420,663,3518,Arachnida,Amblyomma_americanum
261550,3,Arachnida/Amblyomma_americanum/ffbcbdf27a5ec08076492cfc5a145965.jpg,Dean_Goehring,532,800,3037.5,0,366,245,81,75,3518,Arachnida,Amblyomma_americanum
577116,3,Arachnida/Amblyomma_americanum/91e3046f0c8b39ed977705257b948baa.jpg,León_Simón_Sánchez,800,776,178777.5,0,53,32,605,591,3518,Arachnida,Amblyomma_americanum
54208,3,Arachnida/Argiope_argentata/ed03925cb217583439a308cb682987ba.jpg,saraj,800,449,52496.5,0,43,243,283,371,636,Arachnida,Argiope_argentata
54211,3,Arachnida/Argiope_argentata/9884ddc0a18be73468873ba9dc2c93d3.jpg,Richard_Hayden,800,599,74694,0,129,185,354,422,636,Arachnida,Argiope_argentata
54220,3,Arachnida/Argiope_argentata/5f8b02b1ba1f4e26310a27838dde25dc.jpg,jfarol,800,450,12324,0,149,366,156,158,636,Arachnida,Argiope_argentata
54224,3,Arachnida/Argiope_argentata/8a4a636a1d0f22f0f7887d3d524d3afc.jpg,mayra_roman2,800,450,44370,0,90,266,290,306,636,Arachnida,Argiope_argentata
54225,3,Arachnida/Argiope_argentata/9c785100ff9289f7fb72b265743e482b.jpg,Chicho_Gomez,800,600,25584,0,217,344,208,246,636,Arachnida,Argiope_argentata
54230,3,Arachnida/Argiope_argentata/9a6765fbf045546d7773b040ee9fffb2.jpg,Alezandra_R_R,600,800,15072,0,360,237,157,192,636,Arachnida,Argiope_argentata
54231,3,Arachnida/Argiope_argentata/7e0f424c1d63f67f2c5ea9f031ef706e.jpg,sports4tbone,800,600,56966,0,131,219,313,364,636,Arachnida,Argiope_argentata
54251,3,Arachnida/Argiope_argentata/79b5f85923b91d98d02f6c981200bced.jpg,Lily_Ledesma,533,800,93913.5,0,175,11,411,457,636,Arachnida,Argiope_argentata
54252,3,Arachnida/Argiope_argentata/08818a1b5400d45d5c0cf444580378db.jpg,Javi_Gonzalez,534,800,27008,0,310,126,211,256,636,Arachnida,Argiope_argentata
54262,3,Arachnida/Argiope_argentata/5738723fcd46a3051a85db3f3b0cab09.jpg,nicocalakmul,533,800,8643,0,404,189,129,134,636,Arachnida,Argiope_argentata
54266,3,Arachnida/Argiope_argentata/def88d31ac6447b01bee541ef1880399.jpg,milliebasden,800,644,68833.5,0,140,116,327,421,636,Arachnida,Argiope_argentata
54269,3,Arachnida/Argiope_argentata/53852d9ac1de7c5d16162fbc1296faa5.jpg,vic_matt,800,450,17384,0,138,176,164,212,636,Arachnida,Argiope_argentata
54296,3,Arachnida/Argiope_argentata/76094ed6796a00bb2a12c46af59628fa.jpg,Jose_Luis_Leon_de_la_Luz,534,800,78975,0,222,0,351,450,636,Arachnida,Argiope_argentata
54304,3,Arachnida/Argiope_argentata/24fa5098f6b29a1fc1d8e2b9217a9d8c.jpg,kbenes,800,450,47068,0,94,244,287,328,636,Arachnida,Argiope_argentata
54314,3,Arachnida/Argiope_argentata/d028e32f068ae7159926e976b7a5cfb9.jpg,usvaldo,450,800,69524,0,160,56,382,364,636,Arachnida,Argiope_argentata
54317,3,Arachnida/Argiope_argentata/190c4249297951034ca652cb4b443ddf.jpg,Octavio_Canales,450,800,8092,0,370,125,119,136,636,Arachnida,Argiope_argentata
54321,3,Arachnida/Argiope_argentata/9eac8f1a9c347c4510b93e00030b1568.jpg,vailbiotto,534,800,41202,0,286,162,252,327,636,Arachnida,Argiope_argentata
54329,3,Arachnida/Argiope_argentata/a2ba5c4fa7b7ca6ffb27f2709f601a2a.jpg,colocha,600,800,7318.5,0,329,263,119,123,636,Arachnida,Argiope_argentata
54338,3,Arachnida/Argiope_argentata/66b7ef8e6c7356d6f7a06a29abab07b6.jpg,Abel_Jossafat,800,578,27370,0,162,297,238,230,636,Arachnida,Argiope_argentata
54348,3,Arachnida/Argiope_argentata/d97153a3fd694126b4cd83b1631f8e1f.jpg,Carlos_G_Velazco-Maias,600,800,75733,0,206,73,349,434,636,Arachnida,Argiope_argentata
446254,3,Arachnida/Argiope_argentata/a3119d7f91596474af086c86ed2ea2ea.jpg,Ginny_Pitchford,800,800,93349,0,238,129,337,554,636,Arachnida,Argiope_argentata
446255,3,Arachnida/Argiope_argentata/7c15f745c5326fb4b0a76400e8a863b3.jpg,Juan_Carlos_Pérez_M,800,532,49149,0,135,109,258,381,636,Arachnida,Argiope_argentata
446266,3,Arachnida/Argiope_argentata/72150122879d682720b52b4f31572de1.jpg,Javier,533,800,50554,0,246,84,314,322,636,Arachnida,Argiope_argentata
446268,3,Arachnida/Argiope_argentata/dd1073d133fc01d0443418c31a1fb740.jpg,Pakko_Ramírez_Palacios,800,600,63788,0,106,157,296,431,636,Arachnida,Argiope_argentata
446293,3,Arachnida/Argiope_argentata/0d65d91d197de09b90118d5596cbd01a.jpg,Ben_Hutchins,600,800,41318,0,242,145,283,292,636,Arachnida,Argiope_argentata
446308,3,Arachnida/Argiope_argentata/a663a95d343593251b4ca1e5443c8a23.jpg,alexis-mikyel,533,800,22752,0,298,133,237,192,636,Arachnida,Argiope_argentata
446321,3,Arachnida/Argiope_argentata/a6248a3dc3d3b8e9a00eeeebb611fc98.jpg,"Curator,_James_M._Bryant",800,800,23500,0,420,376,200,235,636,Arachnida,Argiope_argentata
446348,3,Arachnida/Argiope_argentata/9cbb3d883f5065fd31c72f32406342c8.jpg,Lena_Struwe,800,610,113424,0,128,113,417,544,636,Arachnida,Argiope_argentata
446354,3,Arachnida/Argiope_argentata/374adc34169e82892433a6d99647bdaf.jpg,Mickey_Long,723,800,179887.5,0,65,0,585,615,636,Arachnida,Argiope_argentata
251873,6,Arachnida/Dermacentor_variabilis/6180634bb3851fa2196f02a836c3b6ab.jpg,bob-dodge,530,800,20664,0,244,254,246,168,3395,Arachnida,Dermacentor_variabilis
251874,3,Arachnida/Dermacentor_variabilis/b628de3e2d5d0b172ff73b2479cff059.jpg,sarahleach,800,623,7175.5,0,279,351,113,127,3395,Arachnida,Dermacentor_variabilis
251875,6,Arachnida/Dermacentor_variabilis/bb6b7f88a9ffcdec36b6147cda4f92ec.jpg,randomrover88,800,597,1596,0,202,221,57,56,3395,Arachnida,Dermacentor_variabilis
251880,3,Arachnida/Dermacentor_variabilis/021b523ae057385f260f8867eba4c5f9.jpg,babydolli1101,800,600,2226.5,0,251,424,73,61,3395,Arachnida,Dermacentor_variabilis
251886,3,Arachnida/Dermacentor_variabilis/19e3b87266532c8c2c637a3b39bee9e7.jpg,jenngribben,736,800,4320,0,370,228,90,96,3395,Arachnida,Dermacentor_variabilis
251888,3,Arachnida/Dermacentor_variabilis/dcf8c8c7a76aeeec08181485c22fa686.jpg,laurentaake,800,600,20544,0,195,311,192,214,3395,Arachnida,Dermacentor_variabilis
251891,3,Arachnida/Dermacentor_variabilis/7f0e6333d8f5444927ddd6e10a5734c2.jpg,Michael_Allen,800,600,9817.5,0,313,215,165,119,3395,Arachnida,Dermacentor_variabilis
251897,3,Arachnida/Dermacentor_variabilis/338fd078d1e82680b7a36b638f380db6.jpg,Liam_O'Brien,800,669,109000,0,49,163,500,436,3395,Arachnida,Dermacentor_variabilis
251900,3,Arachnida/Dermacentor_variabilis/2dbded7fd435889d3fd6619dd77443b0.jpg,johnboback,800,775,36414,0,268,254,252,289,3395,Arachnida,Dermacentor_variabilis
251907,3,Arachnida/Dermacentor_variabilis/5166c6db3585f831bf8a974f9c6d4251.jpg,Kurtis_Himmler,665,800,51832,0,209,251,341,304,3395,Arachnida,Dermacentor_variabilis
251908,6,Arachnida/Dermacentor_variabilis/8094016322fb7a84fa92eb9e82eb1297.jpg,feline,800,600,51920,0,192,180,295,352,3395,Arachnida,Dermacentor_variabilis
251909,3,Arachnida/Dermacentor_variabilis/d2a3532be0edeb90fd44e770adf5a10a.jpg,susiebennett,800,600,1421,0,268,407,58,49,3395,Arachnida,Dermacentor_variabilis
251912,2,Arachnida/Dermacentor_variabilis/04f775c9c3676982509b6be6a215a641.jpg,belinda,800,582,58337.5,0,138,284,325,359,3395,Arachnida,Dermacentor_variabilis
